ID	logFC	logCPM	F	PValue	FDR
uc029sbo.1|A530065N20Rik	-1.20889967810095	4.05246525449431	8.82555206279465	0.00837393884510465	0.0131035485394133
uc007jak.1|Cnot8	0.297088284931816	6.07509805354169	8.34742589549487	0.00838081169986736	0.0131125348103507
uc009uqc.3|Kdm5c	-0.266112506852327	7.81117918968397	8.34326644962421	0.00839475053214858	0.0131325725258892
uc008fcc.1|Csnk1a1	-0.225464342340977	8.23857091471802	8.33950899458405	0.00840736424560522	0.0131505321301911
uc008npk.1|Tti1	-0.299532846215068	4.88989429511582	8.33282040226716	0.00842986954099379	0.0131834598036631
uc007gwx.3|Dcn	0.812540860053617	3.90607573077358	8.47121219125441	0.00843068790340259	0.0131834598036631
uc007dyt.2|Mark1	-0.687712479533198	3.59384640656272	8.33222224458608	0.00843506467453169	0.0131885265353175
uc008kkb.2|Aplnr	1.05056545332384	2.8798276676903	8.41936998695721	0.0085041270207158	0.0132947164943904
uc007ixg.2|Pdlim4	1.25422075411597	1.0396573770576	8.30894641983254	0.00851074300556081	0.0133032670205472
uc033jim.1|Acta1	2.88746662659987	2.34884251309609	8.7347229903902	0.00854002808929402	0.0133472448707002
uc009kac.2|Ate1	0.250275047001239	6.69632843514647	8.29895615749671	0.00854483906176626	0.0133529653378685
uc007jrr.2|Fgf11	0.356022268160702	4.24729957496393	8.29335634226501	0.00856401677163683	0.013381132049731
uc009jzb.2|Bag3	0.430616287677786	6.04355872436039	8.29295132436116	0.00857887659160793	0.0134025454547498
uc009kun.1|Tnfsf13b	1.49113982670249	0.265301626863215	8.28553136756418	0.00859089463808775	0.0134195140664691
uc009psz.2|Peak1	0.587411680732884	5.06904219015601	8.35237212989352	0.00862496503390637	0.0134709206203278
uc009kni.1|Prr33	1.18555507718554	1.29852216860054	8.27454479038889	0.0086287895514004	0.0134750801029474
uc008qkj.1|Ensa	0.303657255266234	7.41019909570847	8.27397981332359	0.00863074325419456	0.0134763173164338
uc008cqz.1|Hsp90ab1	0.377183776336769	9.93839008073292	8.2634799353097	0.00866714108634909	0.013531329120682
uc008ibi.2|Slc18a2	-1.39123682715131	1.55801816766236	8.2622697957033	0.00867134691666281	0.0135360740312173
uc007zfg.1|Arhgap31	0.709103542374598	4.21146671165487	8.36876136526184	0.00867422745713443	0.0135387491505422
uc007ioy.1|Sgcd	-0.405845486811104	5.66846970455654	8.25242650172507	0.00870564103941807	0.0135859519812196
uc008bxt.1|Cyp4f13	-0.419896470747859	4.77442788941398	8.25132863287666	0.00870947529795949	0.0135901078378462
uc009jrf.1|Atp2a1	1.52494625210177	4.49659381781	8.674474714506	0.00873041204698857	0.0136209454055679
uc007bac.2|Hspe1	-0.447884256409956	6.37105629059131	8.25664787460954	0.00873459976325754	0.0136256468207955
uc012afy.2|Usf3	-0.337867819746879	6.56552348973487	8.24377884964299	0.00873589314009662	0.013625832518422
uc009ngl.1|Tango6	0.285244888933497	4.42716649225181	8.24141176975323	0.00874419412356099	0.0136369468300643
uc009tgp.1|Mtap7d3	0.938523468413115	2.38255005131977	8.23374326910172	0.00877114624227542	0.0136771414929608
uc007cgv.2|Phlpp1	-0.254011412404115	5.97159927567559	8.22680137157624	0.0087956237271131	0.0137134670929446
uc009fmh.1|Ppp1r37	-0.267160492978475	7.29630269945046	8.21907802411114	0.00882294532732063	0.0137542166643694
uc007zli.2|Alcam	-0.893512158458096	3.57728914459799	8.26551555687164	0.00885533781273855	0.0138028593016128
uc008vfe.2|Paqr7	0.697480752811498	3.92289753023156	8.24287792572243	0.00888735832112978	0.0138509091470878
uc008vbx.1|Stx12	-0.25969494513311	7.11126993963988	8.19261414022848	0.00891727533885681	0.0138956682456024
uc007vny.2|Fzd6	0.52642962634076	3.71315636572451	8.18666198680438	0.00893864475999707	0.0139270975090971
uc007miq.1|Tsen54	-0.416682206343443	4.00927639473708	8.18423410552397	0.00894737757351203	0.0139388321677578
uc009vcq.2|Adamtsl1	1.13537297954567	1.66449991914673	8.17586311301261	0.00897755941053252	0.0139839739348112
uc009tsz.1|Zfx	0.302741459757505	5.90957147289574	8.17415379449827	0.00898373621827793	0.0139917169584804
uc008hon.2|Slc25a28	-0.457086823868233	5.36347474967415	8.17133341812691	0.00899393821807135	0.0140057260964007
uc007npv.2|Clec14a	1.33828744497702	1.50054195326576	8.16659395226018	0.00902497049077627	0.0140521648690925
uc007zsr.3|D16Ertd472e	0.385751981236727	4.97938670606322	8.15590229043139	0.00904998344300009	0.0140892201649175
uc009slr.2|Syp	-0.50519890102062	4.92674003315989	8.15823189780022	0.00905199847587328	0.0140904666374507
uc008ubt.1|Kti12	-0.474830773738205	4.90029660066472	8.15439386898799	0.00905548263048835	0.0140939993241524
uc008ykm.2|BC005561	0.47511847379888	3.56958121679971	8.15289327119659	0.00906095695792004	0.014100628162922
uc007xwz.2|Hoxc10	-0.485433727449639	3.58252279997973	9.04813661710382	0.00907440702895923	0.0141196653824613
uc009dnw.2|Mical3	0.334538411602057	7.9227265468453	8.1479040302232	0.00907918449332375	0.0141252048372265
uc009ntf.1|Aprt	0.534840628535315	4.33910678697783	8.146856908256	0.00908301515535878	0.0141292699889567
uc007otm.2|Tc2n	-0.823284822580569	2.21352680781229	8.14444515555074	0.00909184480695809	0.014141109288892
uc009dsf.1|P3h3	0.984309811416971	2.15534261740425	8.14277184423041	0.00909797652640877	0.0141487497166494
uc009ahq.1|Snx8	-0.391762887062246	5.57330725720466	8.12829770962853	0.0091512069174457	0.0142296239430612
uc009dlp.1|Zfp248	0.812761718536951	1.80868806309803	8.12559297283091	0.00916119201428742	0.0142432414500572
